Pueblo y grupos de edad;Total - Total;Total - Sexo - Varon ;Total - Sexo - Mujer;Area Urbana  - Total;Area Urbana  - Sexo - Varon ;Area Urbana  - Sexo - Mujer;Area Rural - Total;Area Rural - Sexo - Varon ;Area Rural - Sexo - Mujer
         De 60 a 64 anos;18;13;5;3;2;1;15;11;4
         De 65 a 69 anos;12;2;10;5;1;4;7;1;6
         De 70 a 74 anos;6;2;4; - ; - ; - ;6;2;4
         De 75 a 79 anos;5;1;4;1; - ;1;4;1;3
         De 80 a 84 anos;3;1;2; - ; - ; - ;3;1;2
         De 85 a 89 anos; - ; - ; - ; - ; - ; - ; - ; - ; - 
         De 90 anos y mas;1; - ;1;1; - ;1; - ; - ; - 
    Toba Maskoy/Toba Enenlhet;2.371;1.241;1.130;195;90;105;2.176;1.151;1.025
         De 0 a 4 anos;142;76;66;13;7;6;129;69;60
         De 5 a 9 anos;218;114;104;12;5;7;206;109;97
         De 10 a 14 anos;279;152;127;26;12;14;253;140;113
         De 15 a 19 anos;234;126;108;21;9;12;213;117;96
         De 20 a 24 anos;205;106;99;19;8;11;186;98;88
         De 25 a 29 anos;225;107;118;16;8;8;209;99;110
         De 30 a 34 anos;180;98;82;12;6;6;168;92;76
         De 35 a 39 anos;153;78;75;14;3;11;139;75;64
         De 40 a 44 anos;149;72;77;17;7;10;132;65;67
         De 45 a 49 anos;118;61;57;9;6;3;109;55;54
         De 50 a 54 anos;119;62;57;8;4;4;111;58;53
         De 55 a 59 anos;113;59;54;10;7;3;103;52;51
         De 60 a 64 anos;86;49;37;1; - ;1;85;49;36
         De 65 a 69 anos;71;34;37;12;6;6;59;28;31
         De 70 a 74 anos;46;29;17;2;2; - ;44;27;17
         De 75 a 79 anos;19;11;8;2; - ;2;17;11;6
         De 80 a 84 anos;8;4;4;1; - ;1;7;4;3
         De 85 a 89 anos;5;2;3; - ; - ; - ;5;2;3
         De 90 anos y mas;1;1; - ; - ; - ; - ;1;1; - 
    Nivacle;18.280;9.180;9.100;5.575;2.764;2.811;12.705;6.416;6.289
         De 0 a 4 anos;2.111;1.046;1.065;678;331;347;1.433;715;718
         De 5 a 9 anos;2.218;1.120;1.098;716;361;355;1.502;759;743
         De 10 a 14 anos;2.104;1.061;1.043;648;343;305;1.456;718;738
         De 15 a 19 anos;1.960;1.001;959;606;309;297;1.354;692;662
         De 20 a 24 anos;1.709;861;848;579;292;287;1.130;569;561
         De 25 a 29 anos;1.591;785;806;468;231;237;1.123;554;569
         De 30 a 34 anos;1.322;648;674;426;195;231;896;453;443
         De 35 a 39 anos;1.052;508;544;307;146;161;745;362;383
         De 40 a 44 anos;990;502;488;319;158;161;671;344;327
         De 45 a 49 anos;857;443;414;249;125;124;608;318;290
         De 50 a 54 anos;648;338;310;164;82;82;484;256;228
         De 55 a 59 anos;595;305;290;137;68;69;458;237;221
         De 60 a 64 anos;477;242;235;112;48;64;365;194;171
         De 65 a 69 anos;288;152;136;72;36;36;216;116;100
         De 70 a 74 anos;180;90;90;48;21;27;132;69;63
         De 75 a 79 anos;82;32;50;18;7;11;64;25;39
         De 80 a 84 anos;59;27;32;16;7;9;43;20;23
         De 85 a 89 anos;25;13;12;10;4;6;15;9;6
         De 90 anos y mas;12;6;6;2; - ;2;10;6;4
    Maka;2.166;1.102;1.064;1.560;800;760;606;302;304
         De 0 a 4 anos;286;152;134;200;105;95;86;47;39
         De 5 a 9 anos;283;156;127;204;123;81;79;33;46
         De 10 a 14 anos;280;155;125;215;115;100;65;40;25
         De 15 a 19 anos;268;131;137;183;89;94;85;42;43
         De 20 a 24 anos;217;105;112;149;75;74;68;30;38
         De 25 a 29 anos;155;79;76;114;58;56;41;21;20
         De 30 a 34 anos;134;63;71;101;45;56;33;18;15
         De 35 a 39 anos;136;63;73;92;43;49;44;20;24
         De 40 a 44 anos;124;61;63;93;48;45;31;13;18
         De 45 a 49 anos;64;29;35;46;22;24;18;7;11
