Departamento;Distrito;Area;Comunidad, aldea o barrio, nucleo familiar e individualidades;Familia linguistica del pueblo predominante;Pueblo;Cantidad de viviendas particulares;Cantidad de viviendas colectivas;Poblacion - Total;Poblacion - Varones;Poblacion - Mujeres
 Caaguazu ; Repatriacion ; Rural ; Ka'atymi ; Guarani ; Ava Guarani / Mbya Guarani / Nivacle ;70; -     ;276;136;140
 Caaguazu ; Repatriacion ; Rural ; Nu Hovy ; Guarani ; Mbya Guarani ;55; -     ;228;129;99
 Caaguazu ; Repatriacion ; Rural ; Pindo'i - Culantrillo ; Guarani ; Ache / Mbya Guarani / Guarani Nandeva ;151; -     ;609;311;298
 Caaguazu ; Repatriacion ; Rural ; Isla Jovai Teju ; Guarani ; Ache / Ava Guarani / Mbya Guarani ;21; -     ;72;41;31
 Caaguazu ; Repatriacion ; Rural ; Ypa'? - Senorita ; Guarani ; Ava Guarani / Mbya Guarani ;116; -     ;494;250;244
 Caaguazu ; Repatriacion ; Rural ; 23 de Junio ; Guarani ; Mbya Guarani ;20; -     ;46;27;19
 Caaguazu ; Repatriacion ; Rural ; Y Hovy'i ; Guarani ; Mbya Guarani / Pai Tavytera;18; -     ;84;47;37
 Caaguazu ; Repatriacion ; Rural ; Isla Nu ; Guarani ; Ava Guarani / Mbya Guarani ;8; -     ;26;16;10
 Caaguazu ; San Joaquin ; Rural ; Cerro Morot? ; Guarani ; Ache / Pai Tavytera/ No indigena ;65; -     ;349;172;177
 Caaguazu ; San Joaquin ; Rural ; Tekoha Pora - Campito ; Guarani ; Mbya Guarani ;28; -     ;82;40;42
 Caaguazu ; San Joaquin ; Rural ; Tekoha Mir? ; Guarani ; Mbya Guarani ;13; -     ;68;34;34
 Caaguazu ; San Joaquin ; Rural ; Modaymi ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;45; -     ;172;86;86
 Caaguazu ; San Joaquin ; Rural ; Hugua Rory ; Guarani ; Ava Guarani / Mbya Guarani ;7; -     ;14;9;5
 Caaguazu ; San Joaquin ; Rural ; Tejas Kue ; Guarani ; Mbya Guarani ;22; -     ;55;31;24
 Caaguazu ; San Joaquin ; Rural ; Amambay ; Guarani ; Ava Guarani / Mbya Guarani ;37; -     ;158;85;73
 Caaguazu ; San Joaquin ; Rural ; San Jorge ; Guarani ; Mbya Guarani ;61; -     ;93;43;50
 Caaguazu ; San Joaquin ; Rural ; Isla Pora ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;9; -     ;19;9;10
 Caaguazu ; San Joaquin ; Rural ; Santa Librada ; Guarani ; Mbya Guarani / No indigena ;22; -     ;50;29;21
 Caaguazu ; Yhu ; Rural ; Toro Kangue ; Guarani ; Ava Guarani / Mbya Guarani ;31; -     ;129;59;70
 Caaguazu ; Yhu ; Rural ; Arroyo Guasu Guajaivi ; Guarani ; Ava Guarani / Mbya Guarani ;82; -     ;334;171;163
 Caaguazu ; Yhu ; Rural ; Arroyo Guasu Kambilo Kue ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera;35; -     ;108;58;50
 Caaguazu ; Yhu ; Rural ; Ko'? Poty ; Guarani ; Ava Guarani / No indigena ;33; -     ;130;70;60
 Caaguazu ; Yhu ; Rural ; Paraje Puku ; Guarani ; Mbya Guarani ;21; -     ;51;25;26
 Caaguazu ; Yhu ; Rural ; Ypach? ; Guarani ; Ava Guarani / Mbya Guarani ;103; -     ;436;220;216
 Caaguazu ; Yhu ; Rural ; Nueva Estrella ; Guarani ; Ava Guarani / Mbya Guarani ;12; -     ;42;26;16
 Caaguazu ; Yhu ; Rural ; Takuapi'i ; Guarani ; Mbya Guarani / No indigena ;15; -     ;33;16;17
 Caaguazu ; Yhu ; Rural ; Nucleo de familias Pakuri ; Guarani ; Mbya Guarani ;15; -     ;14;7;7
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; Jaguary ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;210; -     ;499;261;238
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; Mbarigui 14 ; Guarani ; Ava Guarani / Mbya Guarani ;58; -     ;219;114;105
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; Nueva Esperanza ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;92; -     ;440;221;219
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; San Juan Cheiro Ara Poty Y Hovy ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera;158; -     ;673;345;328
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; Cheiro Ara Poty ; Guarani ; Mbya Guarani ;36; -     ;142;71;71
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; Ko'? Pyahu ; Guarani ; Mbya Guarani ;29; -     ;114;53;61
 Caaguazu ; Dr. J. Eulogio Estigarribia ; Rural ; Mbokaja Yguasu ; Guarani ; Ava Guarani / Mbya Guarani ;70; -     ;356;172;184
 Caaguazu ; R.I. 3 Corrales ; Rural ; Tovat?ry - Yvy pora ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;25; -     ;78;39;39
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Santa Teresa ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;226; -     ;912;453;459
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Tajy Poty ; Guarani ; Ava Guarani ;28; -     ;79;47;32
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Yvy Ryvate ; Guarani ; Ava Guarani / Mbya Guarani ;38; -     ;167;84;83
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Y'aka Reta ; Guarani ; Ava Guarani / Mbya Guarani ;192; -     ;770;401;369
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Ara Poty - Panambi ; Guarani ; Mbya Guarani ;14; -     ;55;25;30
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Nembiara ; Guarani ; Ava Guarani / Mbya Guarani ;67; -     ;217;126;91
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Loma Piro'y ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;40; -     ;64;37;27
 Caaguazu ; Raul Arsenio Oviedo ; Rural ; Hugua Po'i ; Guarani ; Mbya Guarani ;32; -     ;116;62;54
 Caaguazu ; Mariscal Francisco Solano Lopez ; Rural ; Ka'aguy Poty - Romero Kue ; Guarani ; Ava Guarani / Mbya Guarani ;110; -     ;440;224;216
 Caaguazu ; 3 De Febrero ; Rural ; Ara Pyahu ; Guarani ; Ava Guarani / Mbya Guarani ;20; -     ;59;31;28
 Caaguazu ; Vaqueria ; Rural ; Mbokaja'i ; Guarani ; Ava Guarani / Mbya Guarani ;52; -     ;156;74;82
 Caaguazu ; Vaqueria ; Rural ; Yvyku'i Jovai ; Guarani ; Ava Guarani / Mbya Guarani ;71; -     ;197;101;96
 Caaguazu ; Nueva Toledo ; Rural ; Tekoha Pora ; Guarani ; Ava Guarani / No indigena ;135; -     ;428;213;215
 Caaguazu ; Nueva Toledo ; Rural ; Yvy Morot? ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;133; -     ;462;242;220
 Caaguazu ; Nueva Toledo ; Rural ; Yvu Santa Rita ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera/ No indigena ;138; -     ;561;288;273
 Caaguazu ; Nueva Toledo ; Rural ; Ypa'? - Toledo ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;23; -     ;70;33;37
 Caaguazu ; Nueva Toledo ; Rural ; 15 de Enero ; Guarani ; Ava Guarani / Mbya Guarani / Guarani Nandeva  ;36; -     ;126;64;62
 Caazapa ; Abai ; Rural ; Campito Kurukau ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera ;32; -     ;118;62;56
 Caazapa ; Abai ; Rural ; Cerrito ; Guarani ; Ava Guarani / Mbya Guarani ;86; -     ;287;151;136
 Caazapa ; Abai ; Rural ; Ka'atymi ; Guarani ; Mbya Guarani ;44; -     ;164;78;86
 Caazapa ; Abai ; Rural ; Nu Apu'a ; Guarani ; Ava Guarani / Mbya Guarani / Toba Maskoy / Toba Enenlhet / No indigena ;53; -     ;269;138;131
 Caazapa ; Abai ; Rural ; Takuarusu ; Guarani ; Mbya Guarani ;68; -     ;261;149;112
 Caazapa ; Abai ; Rural ; Ykua Pora ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera ;115; -     ;451;225;226
 Caazapa ; Abai ; Rural ; Ypet? - Tajy ; Guarani ; Mbya Guarani / Pai Tavytera/ Nivacle ;133; -     ;552;293;259
 Caazapa ; Abai ; Rural ; Ypet? - Nara'i ; Guarani ; Mbya Guarani / Pai Tavytera;50; -     ;214;116;98
 Caazapa ; Abai ; Rural ; Ypet?mi ; Guarani ; Ache / Mbya Guarani / Enxet Sur / Guana / No indigena ;136; -     ;605;298;307
 Caazapa ; Abai ; Rural ; Yt? ; Guarani ; Ava Guarani / Mbya Guarani / Guarani Occidental / Pueblo Guarani ;32; -     ;107;56;51
 Caazapa ; Abai ; Rural ; Yvytymi ; Guarani ; Ava Guarani / Mbya Guarani ;42; -     ;170;77;93
 Caazapa ; Abai ; Rural ; Cecina Tekoha Pyahu ; Guarani ; Mbya Guarani ;33; -     ;95;53;42
 Caazapa ; Abai ; Rural ; Takuaro'i ; Guarani ; Mbya Guarani ;5; -     ;20;13;7
 Caazapa ; San Juan Nepomuceno ; Rural ; Takuaro ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;69; -     ;275;146;129
 Caazapa ; Tavai ; Rural ; Viju ; Guarani ; Mbya Guarani ;44; -     ;175;93;82
 Caazapa ; Tavai ; Rural ; Jukeri - Arroz Tygue ; Guarani ; Mbya Guarani ;32; -     ;78;43;35
 Caazapa ; Tavai ; Rural ; Jukeri - Tuna'i ; Guarani ; Mbya Guarani ;25; -     ;106;56;50
 Caazapa ; Tavai ; Rural ; Karumbey ; Guarani ; Mbya Guarani ;21; -     ;79;42;37
 Caazapa ; Tavai ; Rural ; Kokuere Guasu - Centro ; Guarani ; Ava Guarani / Mbya Guarani ;30; -     ;107;60;47
 Caazapa ; Tavai ; Rural ; Kokuere Guasu - Sexta Linea ; Guarani ; Mbya Guarani ;47; -     ;135;67;68
 Caazapa ; Tavai ; Rural ; Kokuere Guasu - Arroyo Ka'a ; Guarani ; Mbya Guarani ;29; -     ;117;62;55
 Caazapa ; Tavai ; Rural ; Tajay Pakuri ; Guarani ; Ava Guarani / Mbya Guarani ;57; -     ;199;112;87
 Caazapa ; Tavai ; Rural ; Tuna Arroyo Guasu ; Guarani ; Mbya Guarani ;30; -     ;115;59;56
 Caazapa ; Tavai ; Rural ; Pakuri - Castor Kue ; Guarani ; Mbya Guarani ;32; -     ;74;38;36
 Caazapa ; Tavai ; Rural ; Ka'aguy Pa'? ; Guarani ; Mbya Guarani ;9; -     ;38;17;21
 Caazapa ; Tavai ; Rural ; Vy'a Renda ; Guarani ; Ache / Mbya Guarani / No indigena ;29; -     ;102;55;47
 Caazapa ; Tavai ; Rural ; Ka'amindy ; Guarani ; Mbya Guarani ;5; -     ;7;2;5
 Caazapa ; Tavai ; Rural ; Yvyty Kora ; Guarani ; Mbya Guarani ;6; -     ;8;4;4
 Caazapa ; Tavai ; Rural ; Jukeri - Karanda ; Guarani ; Ache / Mbya Guarani / No indigena ;35; -     ;111;57;54
 Caazapa ; Tavai ; Rural ; Mbya Guarani Santa Rita'i ; Guarani ; Mbya Guarani ;12; -     ;28;18;10
 Caazapa ; Tavai ; Rural ; Amambay ; Guarani ; Mbya Guarani ;14; -     ;34;23;11
 Caazapa ; Yegros ; Rural ; Isla Mborevi ; Guarani ; Mbya Guarani / No indigena ;21; -     ;67;31;36
 Caazapa ; Yegros ; Rural ; Guavira Poty ; Guarani ; Mbya Guarani / No indigena ;8; -     ;19;11;8
